City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
277,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,89,0,10.63,clear sky
278,Xining,CN,36.6167,101.7667,48.74,91,35,3.85,scattered clouds
279,Muli,MV,2.9167,73.5667,82.02,76,100,16.35,overcast clouds
280,Hinjilikatu,IN,19.4833,84.75,81.72,76,100,2.95,overcast clouds
281,Nemuro,JP,43.3236,145.575,60.46,99,100,5.77,overcast clouds
282,Eenhana,NA,-17.4667,16.3333,55.38,30,3,7.34,clear sky
283,Ballyhaunis,IE,53.7667,-8.7667,65.61,82,0,5.75,clear sky
284,Lamar,US,33.6668,-95.5836,109.63,32,0,5.75,clear sky
285,Roros,NO,62.5747,11.3842,46.24,93,100,0.0,overcast clouds
286,Hami,CN,42.8,93.45,76.35,36,87,6.42,overcast clouds
287,Bethanien,NA,-26.502,17.1583,58.26,37,3,5.26,clear sky
288,Vasterhaninge,SE,59.1167,18.1,65.73,85,88,7.38,overcast clouds
289,Wajir,KE,1.7471,40.0573,75.33,62,64,20.65,broken clouds
290,Ilebo,CD,-4.3167,20.5833,71.2,87,58,2.01,broken clouds
291,Ereymentau,KZ,51.6199,73.1033,64.38,50,75,5.59,broken clouds
292,Konstantinovka,RU,49.6167,127.9833,65.35,95,74,1.9,broken clouds
293,Belaya Gora,RU,68.5333,146.4167,53.56,48,100,12.3,overcast clouds
294,Moranbah,AU,-22.0016,148.0466,55.18,67,0,6.98,clear sky
295,Rio Gallegos,AR,-51.6226,-69.2181,39.25,70,0,10.36,clear sky
296,Moose Factory,CA,51.2585,-80.6094,78.8,65,40,13.8,scattered clouds
297,Maceio,BR,-9.6658,-35.7353,78.24,78,40,9.22,scattered clouds
298,Visby,SE,57.6409,18.296,66.42,82,75,11.5,broken clouds
299,Mount Darwin,ZW,-16.7725,31.5838,56.61,70,52,2.98,broken clouds
300,Douentza,ML,14.9951,-2.9517,93.18,37,50,5.28,scattered clouds
301,Varda,GR,38.0333,21.3667,82.31,45,20,11.5,few clouds
302,Morondava,MG,-20.2833,44.2833,71.4,54,0,11.95,clear sky
303,Micheweni,TZ,-4.9667,39.8333,75.29,79,20,15.32,few clouds
304,Haines Junction,CA,60.7522,-137.5108,64.35,45,98,8.05,overcast clouds
305,Warragul,AU,-38.1667,145.9333,38.05,88,71,3.8,broken clouds
306,Ciudad Bolivar,VE,8.1222,-63.5497,86.72,61,99,7.09,overcast clouds
307,Parrsboro,CA,45.4001,-64.332,82.96,82,84,10.0,broken clouds
308,Huarmey,PE,-10.0681,-78.1522,66.88,74,64,12.06,broken clouds
309,Palma Del Rio,ES,37.7002,-5.2812,89.92,42,0,10.31,clear sky
310,Alvdal,NO,62.1077,10.6307,46.98,92,59,5.95,broken clouds
311,Cidreira,BR,-30.1811,-50.2056,57.81,91,0,6.02,clear sky
312,Duiwelskloof,ZA,-23.6934,30.14,54.21,72,0,2.86,clear sky
313,Bambanglipuro,ID,-7.95,110.2833,74.26,90,100,5.93,overcast clouds
314,Souillac,MU,-20.5167,57.5167,66.58,88,40,17.27,light rain
315,Sisimiut,GL,66.9395,-53.6735,46.67,85,100,4.14,overcast clouds
316,Mount Gambier,AU,-37.8333,140.7667,35.51,100,40,0.0,fog
317,Barra,BR,-11.0894,-43.1417,81.7,43,12,11.34,few clouds
318,Pulaski,US,34.7668,-92.3001,100.06,52,75,5.75,broken clouds
319,Pandan,PH,14.0453,124.1694,78.98,88,10,4.7,clear sky
320,Coahuayana,MX,18.7333,-103.6833,88.97,61,98,6.62,overcast clouds
321,Hay River,CA,60.8156,-115.7999,75.16,40,75,6.91,broken clouds
322,San Juan,AR,-31.5375,-68.5364,54.05,35,0,8.9,clear sky
323,Grand Island,US,40.925,-98.342,91.35,40,0,17.27,clear sky
324,Olafsvik,IS,64.8945,-23.7142,53.49,76,99,5.21,overcast clouds
325,Midland,US,31.9974,-102.0779,101.07,19,0,9.22,clear sky
326,Horki,BY,54.2861,30.9842,54.21,91,97,6.42,overcast clouds
327,Jiazi,CN,22.8779,116.067,81.59,91,100,7.78,overcast clouds
328,Moussoro,TD,13.6408,16.4901,84.31,56,23,12.17,few clouds
329,Sosnovo-Ozerskoye,RU,52.5249,111.5418,54.93,60,34,4.5,scattered clouds
330,Portland,US,45.5234,-122.6762,79.05,56,20,10.36,few clouds
331,Cortez,US,37.3489,-108.5859,94.03,23,0,8.05,clear sky
332,Gizo,SB,-8.103,156.8419,81.86,71,73,6.06,broken clouds
333,Soskovo,RU,52.7475,35.3828,51.26,93,5,8.75,clear sky
334,Anito,PH,12.4497,125.2886,77.16,90,74,5.19,broken clouds
335,Ulaanbaatar,MN,47.9077,106.8832,69.93,35,75,6.71,broken clouds
336,Bathsheba,BB,13.2167,-59.5167,84.81,82,40,20.71,scattered clouds
337,Kanye,BW,-24.9667,25.3327,50.16,57,0,6.02,clear sky
338,Jimenez,MX,28.3333,-105.4,100.09,15,13,7.07,few clouds
339,Barranca,PE,-10.75,-77.7667,64.62,75,95,12.46,overcast clouds
340,Beringovskiy,RU,63.05,179.3167,52.36,51,7,25.17,clear sky
341,Manyana,BW,-23.4,21.7167,50.99,51,0,7.36,clear sky
342,Elban,RU,50.1018,136.5094,59.16,98,100,2.19,overcast clouds
343,Gamut,PH,8.5303,126.2422,72.48,98,100,5.66,moderate rain
344,Muroto,JP,33.2833,134.15,80.49,88,100,18.48,moderate rain
